Ticker,Name,Sector,Asset Class,Market Value,Weight,Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NSSC","NAPCO SECURITY TECHNOLOGIES INC","Information Technology","Equity","373,557.80","0.00","373,557.80","10,505.00","35.56","United States","NASDAQ","USD","1.00","USD","-"
"HLIO","HELIOS TECHNOLOGIES INC","Industrials","Equity","374,083.20","0.00","374,083.20","8,380.00","44.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CGON","CG ONCOLOGY INC","Health Care","Equity","372,696.60","0.00","372,696.60","12,995.00","28.68","United States","NASDAQ","USD","1.00","USD","-"
"OXM","OXFORD INDUSTRIES INC","Consumer Discretionary","Equity","372,708.18","0.00","372,708.18","4,731.00","78.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DNOW","DNOW INC","Industrials","Equity","370,355.67","0.00","370,355.67","28,467.00","13.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NTCT","NETSCOUT SYSTEMS INC","Information Technology","Equity","368,999.76","0.00","368,999.76","17,036.00","21.66","United States","NASDAQ","USD","1.00","USD","-"
"AMC","AMC ENTERTAINMENT HOLDINGS INC CLA","Communication","Equity","369,049.48","0.00","369,049.48","92,726.00","3.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ALEX","ALEXANDER AND BALDWIN INC","Real Estate","Equity","369,062.96","0.00","369,062.96","20,804.00","17.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PZZA","PAPA JOHNS INTERNATIONAL INC","Consumer Discretionary","Equity","369,588.93","0.00","369,588.93","8,999.00","41.07","United States","NASDAQ","USD","1.00","USD","-"
"SFL","SFL LTD","Energy","Equity","369,861.80","0.00","369,861.80","36,190.00","10.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GTY","GETTY REALTY REIT CORP","Real Estate","Equity","367,435.35","0.00","367,435.35","12,195.00","30.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JBGS","JBG SMITH PROPERTIES","Real Estate","Equity","368,311.31","0.00","368,311.31","23,963.00","15.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JANX","JANUX THERAPEUTICS INC","Health Care","Equity","366,534.84","0.00","366,534.84","6,846.00","53.54","United States","NASDAQ","USD","1.00","USD","-"
"ARI","APOLLO COMMERCIAL REAL ESTATE FINA","Financials","Equity","366,612.44","0.00","366,612.44","42,334.00","8.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GSAT","GLOBALSTAR VOTING INC","Communication","Equity","366,688.08","0.00","366,688.08","177,144.00","2.07","United States","Nyse Mkt Llc","USD","1.00","USD","-"
"NN","NEXTNAV INC","Information Technology","Equity","366,780.32","0.00","366,780.32","23,572.00","15.56","United States","NASDAQ","USD","1.00","USD","-"
"FA","FIRST ADVANTAGE CORP","Industrials","Equity","364,972.78","0.00","364,972.78","19,486.00","18.73","United States","NASDAQ","USD","1.00","USD","-"
"UTI","UNIVERSAL TECHNICAL INSTITUTE INC","Consumer Discretionary","Equity","365,133.42","0.00","365,133.42","14,202.00","25.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DK","DELEK US HOLDINGS INC","Energy","Equity","365,190.00","0.00","365,190.00","19,740.00","18.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HOPE","HOPE BANCORP INC","Financials","Equity","360,748.37","0.00","360,748.37","29,353.00","12.29","United States","NASDAQ","USD","1.00","USD","-"
"TILE","INTERFACE INC","Industrials","Equity","361,670.55","0.00","361,670.55","14,853.00","24.35","United States","NASDAQ","USD","1.00","USD","-"
"PRAX","PRAXIS PRECISION MEDICINES INC","Health Care","Equity","361,942.88","0.00","361,942.88","4,703.00","76.96","United States","NASDAQ","USD","1.00","USD","-"
"UI","UBIQUITI INC","Information Technology","Equity","360,144.05","0.00","360,144.05","1,085.00","331.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CUBI","CUSTOMERS BANCORP INC","Financials","Equity","357,895.36","0.00","357,895.36","7,352.00","48.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ATSG","AIR TRANSPORT SERVICES GROUP INC","Industrials","Equity","358,010.24","0.00","358,010.24","16,288.00","21.98","United States","NASDAQ","USD","1.00","USD","-"
"INFN","INFINERA CORP","Information Technology","Equity","358,452.63","0.00","358,452.63","54,559.00","6.57","United States","NASDAQ","USD","1.00","USD","-"
"TALO","TALOS ENERGY INC","Energy","Equity","358,493.20","0.00","358,493.20","36,920.00","9.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LEG","LEGGETT & PLATT INC","Consumer Discretionary","Equity","358,636.80","0.00","358,636.80","37,358.00","9.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NNI","NELNET INC CLASS A","Financials","Equity","357,172.64","0.00","357,172.64","3,344.00","106.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BKE","BUCKLE INC","Consumer Discretionary","Equity","354,806.23","0.00","354,806.23","6,983.00","50.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ALGT","ALLEGIANT TRAVEL","Industrials","Equity","355,303.00","0.00","355,303.00","3,775.00","94.12","United States","NASDAQ","USD","1.00","USD","-"
"XNCR","XENCOR INC","Health Care","Equity","353,018.76","0.00","353,018.76","15,362.00","22.98","United States","NASDAQ","USD","1.00","USD","-"
"NWBI","NORTHWEST BANCSHARES INC","Financials","Equity","353,135.87","0.00","353,135.87","26,773.00","13.19","United States","NASDAQ","USD","1.00","USD","-"
"NIC","NICOLET BANKSHARES INC","Financials","Equity","353,651.61","0.00","353,651.61","3,371.00","104.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ARQT","ARCUTIS BIOTHERAPEUTICS INC","Health Care","Equity","353,933.44","0.00","353,933.44","25,408.00","13.93","United States","NASDAQ","USD","1.00","USD","-"
"NWN","NORTHWEST NATURAL HOLDING COMPANY","Utilities","Equity","353,982.88","0.00","353,982.88","8,948.00","39.56","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NBHC","NATIONAL BANK HOLDINGS CORP CLASS","Financials","Equity","351,757.14","0.00","351,757.14","8,169.00","43.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TROX","TRONOX HOLDINGS PLC","Materials","Equity","352,419.79","0.00","352,419.79","34,997.00","10.07","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INMD","INMODE LTD","Health Care","Equity","349,731.40","0.00","349,731.40","20,942.00","16.70","Israel","NASDAQ","USD","1.00","USD","-"
"LTC","LTC PROPERTIES REIT INC","Real Estate","Equity","351,062.55","0.00","351,062.55","10,161.00","34.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AUPH","AURINIA PHARMACEUTICALS INC","Health Care","Equity","348,136.64","0.00","348,136.64","38,768.00","8.98","United States","NASDAQ","USD","1.00","USD","-"
"UNIT","UNITI GROUP INC","Real Estate","Equity","348,848.50","0.00","348,848.50","63,427.00","5.50","United States","NASDAQ","USD","1.00","USD","-"
"IRON","DISC MEDICINE INC","Health Care","Equity","349,143.80","0.00","349,143.80","5,507.00","63.40","United States","NASDAQ","USD","1.00","USD","-"
"FOXF","FOX FACTORY HOLDING CORP","Consumer Discretionary","Equity","349,406.61","0.00","349,406.61","11,543.00","30.27","United States","NASDAQ","USD","1.00","USD","-"
"APPN","APPIAN CORP CLASS A","Information Technology","Equity","349,522.04","0.00","349,522.04","10,598.00","32.98","United States","NASDAQ","USD","1.00","USD","-"
"NAVI","NAVIENT CORP","Financials","Equity","346,563.33","0.00","346,563.33","26,077.00","13.29","United States","NASDAQ","USD","1.00","USD","-"
"THRM","GENTHERM INC","Consumer Discretionary","Equity","347,307.57","0.00","347,307.57","8,699.00","39.92","United States","NASDAQ","USD","1.00","USD","-"
"WGS","GENEDX HOLDINGS CORP CLASS A","Health Care","Equity","345,255.12","0.00","345,255.12","4,492.00","76.86","United States","NASDAQ","USD","1.00","USD","-"
"INOD","INNODATA INC","Industrials","Equity","346,432.32","0.00","346,432.32","8,766.00","39.52","United States","NASDAQ","USD","1.00","USD","-"
"EIG","EMPLOYERS HOLDINGS INC","Financials","Equity","343,804.53","0.00","343,804.53","6,711.00","51.23","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LLYVA","LIBERTY MEDIA LIBERTY LIVE CORP SE","Communication","Equity","344,181.76","0.00","344,181.76","5,171.00","66.56","United States","NASDAQ","USD","1.00","USD","-"
"LOB","LIVE OAK BANCSHARES INC","Financials","Equity","344,361.85","0.00","344,361.85","8,707.00","39.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EMBC","EMBECTA CORP","Health Care","Equity","342,315.05","0.00","342,315.05","16,577.00","20.65","United States","NASDAQ","USD","1.00","USD","-"
"CNNE","CANNAE HOLDINGS INC","Financials","Equity","342,684.30","0.00","342,684.30","17,255.00","19.86","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HLX","HELIX ENERGY SOLUTIONS GROUP INC","Energy","Equity","342,826.88","0.00","342,826.88","36,784.00","9.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LFST","LIFESTANCE HEALTH GROUP INC","Health Care","Equity","341,054.12","0.00","341,054.12","46,276.00","7.37","United States","NASDAQ","USD","1.00","USD","-"
"BUSE","FIRST BUSEY CORP","Financials","Equity","338,889.46","0.00","338,889.46","14,378.00","23.57","United States","NASDAQ","USD","1.00","USD","-"
"STBA","S AND T BANCORP INC","Financials","Equity","338,973.18","0.00","338,973.18","8,869.00","38.22","United States","NASDAQ","USD","1.00","USD","-"
"PAGS","PAGSEGURO DIGITAL LTD CLASS A","Financials","Equity","339,029.08","0.00","339,029.08","54,158.00","6.26","Brazil","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NRIX","NURIX THERAPEUTICS INC","Health Care","Equity","338,291.04","0.00","338,291.04","17,956.00","18.84","United States","NASDAQ","USD","1.00","USD","-"
"VITL","VITAL FARMS INC","Consumer Staples","Equity","338,682.34","0.00","338,682.34","8,986.00","37.69","United States","NASDAQ","USD","1.00","USD","-"
"NVAX","NOVAVAX INC","Health Care","Equity","338,685.00","0.00","338,685.00","42,125.00","8.04","United States","NASDAQ","USD","1.00","USD","-"
"RVLV","REVOLVE GROUP CLASS A INC","Consumer Discretionary","Equity","335,603.29","0.00","335,603.29","10,021.00","33.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BHLB","BERKSHIRE HILLS BANCORP INC","Financials","Equity","335,985.74","0.00","335,985.74","11,818.00","28.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AAT","AMERICAN ASSETS TRUST REIT INC","Real Estate","Equity","336,889.54","0.00","336,889.54","12,829.00","26.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","Jan 01, 1970"
"CRAI","CRA INTERNATIONAL INC","Industrials","Equity","334,526.40","0.00","334,526.40","1,787.00","187.20","United States","NASDAQ","USD","1.00","USD","-"
"CARS","CARS.COM INC","Communication","Equity","334,884.92","0.00","334,884.92","19,324.00","17.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EVH","EVOLENT HEALTH INC CLASS A","Health Care","Equity","335,283.75","0.00","335,283.75","29,803.00","11.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EVRI","EVERI HOLDINGS INC","Consumer Discretionary","Equity","335,426.28","0.00","335,426.28","24,828.00","13.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PHR","PHREESIA INC","Health Care","Equity","331,004.96","0.00","331,004.96","13,156.00","25.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SCSC","SCANSOURCE INC","Information Technology","Equity","332,102.55","0.00","332,102.55","6,999.00","47.45","United States","NASDAQ","USD","1.00","USD","-"
"WMK","WEIS MARKETS INC","Consumer Staples","Equity","329,864.12","0.00","329,864.12","4,871.00","67.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TPC","TUTOR PERINI CORP","Industrials","Equity","330,451.00","0.00","330,451.00","13,655.00","24.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FBMS","FIRST BANCSHARES INC","Financials","Equity","330,575.00","0.00","330,575.00","9,445.00","35.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"INVA","INNOVIVA INC","Health Care","Equity","330,691.00","0.00","330,691.00","19,060.00","17.35","United States","NASDAQ","USD","1.00","USD","-"
"MDXG","MIMEDX GROUP INC","Health Care","Equity","330,764.46","0.00","330,764.46","34,383.00","9.62","United States","NASDAQ","USD","1.00","USD","-"
"APLD","APPLIED DIGITAL CORP","Information Technology","Equity","328,619.32","0.00","328,619.32","43,013.00","7.64","United States","NASDAQ","USD","1.00","USD","-"
"CMPR","CIMPRESS PLC","Industrials","Equity","328,764.48","0.00","328,764.48","4,584.00","71.72","United States","NASDAQ","USD","1.00","USD","-"
"VBTX","VERITEX HOLDINGS INC","Financials","Equity","326,273.08","0.00","326,273.08","12,013.00","27.16","United States","NASDAQ","USD","1.00","USD","-"
"XPRO","EXPRO GROUP HOLDINGS NV","Energy","Equity","327,437.26","0.00","327,437.26","26,258.00","12.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TCBK","TRICO BANCSHARES","Financials","Equity","327,531.50","0.00","327,531.50","7,495.00","43.70","United States","NASDAQ","USD","1.00","USD","-"
"PYCR","PAYCOR HCM INC","Industrials","Equity","325,142.13","0.00","325,142.13","17,509.00","18.57","United States","NASDAQ","USD","1.00","USD","-"
"RSI","RUSH STREET INTERACTIVE INC CLASS","Consumer Discretionary","Equity","325,232.60","0.00","325,232.60","23,705.00","13.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KW","KENNEDY WILSON HOLDINGS INC","Real Estate","Equity","325,953.72","0.00","325,953.72","32,628.00","9.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CWH","CAMPING WORLD HOLDINGS INC CLASS A","Consumer Discretionary","Equity","323,177.48","0.00","323,177.48","15,331.00","21.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KLG","WK KELLOGG","Consumer Staples","Equity","321,517.28","0.00","321,517.28","17,872.00","17.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SABR","SABRE CORP","Consumer Discretionary","Equity","321,543.10","0.00","321,543.10","88,094.00","3.65","United States","NASDAQ","USD","1.00","USD","-"
"CSTM","CONSTELLIUM SE CLASS A","Materials","Equity","322,272.60","0.00","322,272.60","31,380.00","10.27","Netherlands","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WOR","WORTHINGTON ENTERPRISES INC","Consumer Discretionary","Equity","322,364.07","0.00","322,364.07","8,037.00","40.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"USPH","US PHYSICAL THERAPY INC","Health Care","Equity","322,726.98","0.00","322,726.98","3,638.00","88.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LADR","LADDER CAPITAL CORP CLASS A","Financials","Equity","322,764.36","0.00","322,764.36","28,844.00","11.19","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DESP","DESPEGAR COM CORP","Consumer Discretionary","Equity","322,880.25","0.00","322,880.25","16,773.00","19.25","Argentina","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ECPG","ENCORE CAPITAL GROUP INC","Financials","Equity","319,963.46","0.00","319,963.46","6,698.00","47.77","United States","NASDAQ","USD","1.00","USD","-"
"FSLY","FASTLY INC CLASS A","Information Technology","Equity","320,214.24","0.00","320,214.24","33,921.00","9.44","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LMB","LIMBACH HOLDINGS INC","Industrials","Equity","320,261.76","0.00","320,261.76","3,744.00","85.54","United States","NASDAQ","USD","1.00","USD","-"
"MYGN","MYRIAD GENETICS INC","Health Care","Equity","320,827.71","0.00","320,827.71","23,401.00","13.71","United States","NASDAQ","USD","1.00","USD","-"
"MTTR","MATTERPORT INC CLASS A","Information Technology","Equity","318,674.94","0.00","318,674.94","67,231.00","4.74","United States","NASDAQ","USD","1.00","USD","-"
"SAFT","SAFETY INSURANCE GROUP INC","Financials","Equity","319,464.80","0.00","319,464.80","3,877.00","82.40","United States","NASDAQ","USD","1.00","USD","-"
"PDM","PIEDMONT OFFICE REALTY TRUST REIT","Real Estate","Equity","319,545.45","0.00","319,545.45","34,923.00","9.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CSR","CENTERSPACE","Real Estate","Equity","317,321.55","0.00","317,321.55","4,797.00","66.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GBTG","GLOBAL BUSINESS TRAVEL GROUP INC C","Consumer Discretionary","Equity","317,719.36","0.00","317,719.36","34,237.00","9.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SOC","SABLE OFFSHORE CORP CLASS A","Energy","Equity","315,287.20","0.00","315,287.20","13,768.00","22.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LBRDA","LIBERTY BROADBAND CORP SERIES A","Communication","Equity","315,806.92","0.00","315,806.92","4,247.00","74.36","United States","NASDAQ","USD","1.00","USD","-"
"STAA","STAAR SURGICAL","Health Care","Equity","316,158.64","0.00","316,158.64","13,016.00","24.29","United States","NASDAQ","USD","1.00","USD","-"
"CBRL","CRACKER BARREL OLD COUNTRY STORE I","Consumer Discretionary","Equity","314,728.44","0.00","314,728.44","5,954.00","52.86","United States","NASDAQ","USD","1.00","USD","-"
"KALU","KAISER ALUMINIUM CORP","Materials","Equity","314,809.60","0.00","314,809.60","4,480.00","70.27","United States","NASDAQ","USD","1.00","USD","-"
"WINA","WINMARK CORP","Consumer Discretionary","Equity","314,849.07","0.00","314,849.07","801.00","393.07","United States","NASDAQ","USD","1.00","USD","-"
"PEBO","PEOPLES BANCORP INC","Financials","Equity","314,871.84","0.00","314,871.84","9,936.00","31.69","United States","NASDAQ","USD","1.00","USD","-"
"CERT","CERTARA INC","Health Care","Equity","312,886.35","0.00","312,886.35","29,379.00","10.65","United States","NASDAQ","USD","1.00","USD","-"
